date,product_name,therapeutic_area,region,sales_units,unit_price,marketing_spend,revenue
2021-06-01,DiabeCare,Endocrinology,Europe,17488,66.27,25010.43,1158929.76
2021-06-01,DiabeCare,Endocrinology,Asia Pacific,12498,65.55,20118.33,819243.9
2021-06-01,DiabeCare,Endocrinology,Latin America,8698,65.78,9167.0,572154.44
2021-07-01,CardioVasc-X,Cardiology,North America,8268,119.56,18322.56,988522.08
2021-07-01,CardioVasc-X,Cardiology,Europe,5961,114.93,20875.31,685097.73
2021-07-01,CardioVasc-X,Cardiology,Asia Pacific,6247,117.71,15123.85,735334.37
2021-07-01,CardioVasc-X,Cardiology,Latin America,3746,115.95,10515.92,434348.7
2021-07-01,OncoShield-A,Oncology,North America,2347,469.47,16206.31,1101846.09
2021-07-01,OncoShield-A,Oncology,Europe,1583,463.97,17047.36,734464.51
2021-07-01,OncoShield-A,Oncology,Asia Pacific,1371,471.15,9305.94,645946.65
2021-07-01,OncoShield-A,Oncology,Latin America,848,448.59,9957.76,380404.32
2021-07-01,NeuroCalm,Neurology,North America,12858,81.23,14998.71,1044455.34
2021-07-01,NeuroCalm,Neurology,Europe,11171,89.25,18199.68,997011.75
2021-07-01,NeuroCalm,Neurology,Asia Pacific,8652,87.29,14171.1,755233.08
2021-07-01,NeuroCalm,Neurology,Latin America,4777,81.85,8846.67,390997.45
2021-07-01,ImmunoFlex,Immunology,North America,6556,223.76,22550.64,1466970.56
2021-07-01,ImmunoFlex,Immunology,Europe,5486,226.74,20971.67,1243895.64
2021-07-01,ImmunoFlex,Immunology,Asia Pacific,3574,230.47,15097.11,823699.78
2021-07-01,ImmunoFlex,Immunology,Latin America,2714,238.1,9654.3,646203.4
2021-07-01,DiabeCare,Endocrinology,North America,24143,67.45,31096.71,1628445.35
2021-07-01,DiabeCare,Endocrinology,Europe,14124,61.94,13771.13,874840.56
2021-07-01,DiabeCare,Endocrinology,Asia Pacific,13358,66.33,15983.47,886036.14
2021-07-01,DiabeCare,Endocrinology,Latin America,7311,61.84,8618.99,452112.24
2021-08-01,CardioVasc-X,Cardiology,North America,7450,118.71,26859.02,884389.5
2021-08-01,CardioVasc-X,Cardiology,Europe,6400,118.18,20503.12,756352.0
2021-08-01,CardioVasc-X,Cardiology,Asia Pacific,5238,118.76,18531.72,622064.88
2021-08-01,CardioVasc-X,Cardiology,Latin America,3348,125.39,11364.94,419805.72
2021-08-01,OncoShield-A,Oncology,North America,1871,448.16,14615.0,838507.36
2021-08-01,OncoShield-A,Oncology,Europe,1561,442.29,17395.07,690414.69
2021-08-01,OncoShield-A,Oncology,Asia Pacific,1228,430.91,10532.26,529157.48
2021-08-01,OncoShield-A,Oncology,Latin America,784,443.06,7407.62,347359.04
2021-08-01,NeuroCalm,Neurology,North America,14347,86.42,21888.79,1239867.74
2021-08-01,NeuroCalm,Neurology,Europe,9576,81.1,15860.72,776613.6
2021-08-01,NeuroCalm,Neurology,Asia Pacific,7422,82.25,12738.77,610459.5
2021-08-01,NeuroCalm,Neurology,Latin America,4927,83.85,6775.23,413128.95
2021-08-01,ImmunoFlex,Immunology,North America,6279,219.4,30876.95,1377612.6
2021-08-01,ImmunoFlex,Immunology,Europe,4913,220.38,19209.15,1082726.94
2021-08-01,ImmunoFlex,Immunology,Asia Pacific,3442,237.04,13929.87,815891.68
2021-08-01,ImmunoFlex,Immunology,Latin America,2319,223.32,8100.82,517879.08
2021-08-01,DiabeCare,Endocrinology,North America,14837,65.77,20947.27,975829.49
2021-08-01,DiabeCare,Endocrinology,Europe,11226,66.61,15234.27,747763.86
2021-08-01,DiabeCare,Endocrinology,Asia Pacific,11481,65.08,15893.19,747183.48
2021-08-01,DiabeCare,Endocrinology,Latin America,6981,64.66,7652.69,451391.46
2021-09-01,CardioVasc-X,Cardiology,North America,7572,117.23,15143.73,887665.56
2021-09-01,CardioVasc-X,Cardiology,Europe,5919,117.86,16875.91,697613.34
2021-09-01,CardioVasc-X,Cardiology,Asia Pacific,4274,115.44,12488.89,493390.56
2021-09-01,CardioVasc-X,Cardiology,Latin America,3272,122.15,9979.85,399674.8
2021-09-01,OncoShield-A,Oncology,North America,2123,431.41,22276.92,915883.43
2021-09-01,OncoShield-A,Oncology,Europe,1660,461.04,25856.24,765326.4
2021-09-01,OncoShield-A,Oncology,Asia Pacific,1095,440.27,11368.15,482095.65
2021-09-01,OncoShield-A,Oncology,Latin America,668,453.19,12231.84,302730.92
2021-09-01,NeuroCalm,Neurology,North America,12559,81.62,16071.39,1025065.58
2021-09-01,NeuroCalm,Neurology,Europe,8958,82.12,15925.0,735630.96
2021-09-01,NeuroCalm,Neurology,Asia Pacific,6979,82.22,12644.32,573813.38
2021-09-01,NeuroCalm,Neurology,Latin America,4904,89.1,4775.97,436946.4
2021-09-01,ImmunoFlex,Immunology,North America,5093,240.8,21246.19,1226394.4
2021-09-01,ImmunoFlex,Immunology,Europe,4305,224.43,18363.37,966171.15
2021-09-01,ImmunoFlex,Immunology,Asia Pacific,3107,239.88,15780.76,745307.16
2021-09-01,ImmunoFlex,Immunology,Latin America,2488,224.94,13470.35,559650.72
2021-09-01,DiabeCare,Endocrinology,North America,17768,63.85,19355.54,1134486.8
2021-09-01,DiabeCare,Endocrinology,Europe,10350,63.33,18512.15,655465.5
2021-09-01,DiabeCare,Endocrinology,Asia Pacific,9771,63.63,15088.83,621728.73
2021-09-01,DiabeCare,Endocrinology,Latin America,6692,64.88,7383.89,434176.96
2021-10-01,CardioVasc-X,Cardiology,North America,8533,118.04,19530.5,1007235.32
2021-10-01,CardioVasc-X,Cardiology,Europe,6847,122.18,15521.39,836566.46
2021-10-01,CardioVasc-X,Cardiology,Asia Pacific,5913,119.66,15967.31,707549.58
2021-10-01,CardioVasc-X,Cardiology,Latin America,2969,125.15,6217.28,371570.35
2021-10-01,OncoShield-A,Oncology,North America,2016,469.73,24125.4,946975.68
2021-10-01,OncoShield-A,Oncology,Europe,1803,465.38,19368.22,839080.14
2021-10-01,OncoShield-A,Oncology,Asia Pacific,1224,436.57,15412.33,534361.68
2021-10-01,OncoShield-A,Oncology,Latin America,777,464.16,9011.93,360652.32
2021-10-01,NeuroCalm,Neurology,North America,16420,83.8,23759.91,1375996.0
2021-10-01,NeuroCalm,Neurology,Europe,11223,87.69,16692.24,984144.87
2021-10-01,NeuroCalm,Neurology,Asia Pacific,7300,84.68,8552.42,618164.0
2021-10-01,NeuroCalm,Neurology,Latin America,5077,85.02,11649.32,431646.54
2021-10-01,ImmunoFlex,Immunology,North America,6061,227.33,23926.78,1377847.13
2021-10-01,ImmunoFlex,Immunology,Europe,4761,232.86,20795.3,1108646.46
2021-10-01,ImmunoFlex,Immunology,Asia Pacific,3848,221.7,10168.08,853101.6
2021-10-01,ImmunoFlex,Immunology,Latin America,2595,230.77,10605.55,598848.15
2021-10-01,DiabeCare,Endocrinology,North America,19670,62.74,23275.22,1234095.8
2021-10-01,DiabeCare,Endocrinology,Europe,13074,66.59,13794.13,870597.66
2021-10-01,DiabeCare,Endocrinology,Asia Pacific,11090,66.71,14644.15,739813.9
2021-10-01,DiabeCare,Endocrinology,Latin America,7790,67.09,8956.01,522631.1
2021-11-01,CardioVasc-X,Cardiology,North America,8177,123.57,21384.11,1010431.89
2021-11-01,CardioVasc-X,Cardiology,Europe,6380,122.67,16242.23,782634.6
2021-11-01,CardioVasc-X,Cardiology,Asia Pacific,6096,122.33,17058.54,745723.68
2021-11-01,CardioVasc-X,Cardiology,Latin America,3412,118.15,6525.08,403127.8
2021-11-01,OncoShield-A,Oncology,North America,2250,448.29,14562.87,1008652.5
2021-11-01,OncoShield-A,Oncology,Europe,1977,455.02,18401.68,899574.54
2021-11-01,OncoShield-A,Oncology,Asia Pacific,1370,458.85,14849.18,628624.5
2021-11-01,OncoShield-A,Oncology,Latin America,857,434.36,10107.67,372246.52
2021-11-01,NeuroCalm,Neurology,North America,16984,84.36,31112.49,1432770.24
2021-11-01,NeuroCalm,Neurology,Europe,10968,88.62,18413.59,971984.16
2021-11-01,NeuroCalm,Neurology,Asia Pacific,8310,89.12,11655.21,740587.2
2021-11-01,NeuroCalm,Neurology,Latin America,5985,84.14,14606.21,503577.9
2021-11-01,ImmunoFlex,Immunology,North America,6023,236.97,21889.84,1427270.31
2021-11-01,ImmunoFlex,Immunology,Europe,3954,239.66,20787.67,947615.64
2021-11-01,ImmunoFlex,Immunology,Asia Pacific,3266,235.46,10782.3,769012.36
2021-11-01,ImmunoFlex,Immunology,Latin America,2292,228.91,6775.89,524661.72
2021-11-01,DiabeCare,Endocrinology,North America,19110,64.99,21493.2,1241958.9
2021-11-01,DiabeCare,Endocrinology,Europe,15048,64.11,20617.85,964727.28
2021-11-01,DiabeCare,Endocrinology,Asia Pacific,13512,61.84,19904.78,835582.08
2021-11-01,DiabeCare,Endocrinology,Latin America,7730,68.0,7716.69,525640.0
2021-12-01,CardioVasc-X,Cardiology,North America,8609,115.02,21526.56,990207.18
2021-12-01,CardioVasc-X,Cardiology,Europe,7290,121.14,17877.5,883110.6
2021-12-01,CardioVasc-X,Cardiology,Asia Pacific,5718,116.52,14665.74,666261.36
2021-12-01,CardioVasc-X,Cardiology,Latin America,3693,116.29,9526.05,429458.97
2021-12-01,OncoShield-A,Oncology,North America,2187,452.92,22600.97,990536.04
2021-12-01,OncoShield-A,Oncology,Europe,1417,447.33,22839.18,633866.61
2021-12-01,OncoShield-A,Oncology,Asia Pacific,1183,434.49,18269.8,514001.67
2021-12-01,OncoShield-A,Oncology,Latin America,863,470.08,10315.19,405679.04
2021-12-01,NeuroCalm,Neurology,North America,13569,86.22,16345.82,1169919.18
2021-12-01,NeuroCalm,Neurology,Europe,11328,82.08,16581.24,929802.24
2021-12-01,NeuroCalm,Neurology,Asia Pacific,10337,80.98,17361.86,837090.26
2021-12-01,NeuroCalm,Neurology,Latin America,5439,86.46,8376.28,470255.94
2021-12-01,ImmunoFlex,Immunology,North America,6805,233.51,20363.43,1589035.55
2021-12-01,ImmunoFlex,Immunology,Europe,4894,224.09,16621.31,1096696.46
2021-12-01,ImmunoFlex,Immunology,Asia Pacific,4227,237.6,16704.56,1004335.2
2021-12-01,ImmunoFlex,Immunology,Latin America,2421,223.21,12960.47,540391.41
2021-12-01,DiabeCare,Endocrinology,North America,20920,61.83,25448.61,1293483.6
2021-12-01,DiabeCare,Endocrinology,Europe,17158,67.55,11905.54,1159022.9
2021-12-01,DiabeCare,Endocrinology,Asia Pacific,13476,63.44,13096.04,854917.44
2021-12-01,DiabeCare,Endocrinology,Latin America,7076,63.49,12315.74,449255.24
2022-01-01,CardioVasc-X,Cardiology,North America,10185,120.62,17032.53,1228514.7
2022-01-01,CardioVasc-X,Cardiology,Europe,6405,125.38,11680.75,803058.9
2022-01-01,CardioVasc-X,Cardiology,Asia Pacific,5726,124.42,13114.64,712428.92
2022-01-01,CardioVasc-X,Cardiology,Latin America,3645,123.6,11719.7,450522.0
2022-01-01,OncoShield-A,Oncology,North America,2210,439.59,21230.79,971493.9
2022-01-01,OncoShield-A,Oncology,Europe,1906,439.1,25743.96,836924.6
2022-01-01,OncoShield-A,Oncology,Asia Pacific,1336,471.8,15221.74,630324.8
2022-01-01,OncoShield-A,Oncology,Latin America,848,439.75,7283.92,372908.0
2022-01-01,NeuroCalm,Neurology,North America,13933,83.08,23792.64,1157553.64
2022-01-01,NeuroCalm,Neurology,Europe,12702,87.8,25205.47,1115235.6
2022-01-01,NeuroCalm,Neurology,Asia Pacific,9777,85.85,15472.44,839355.45
2022-01-01,NeuroCalm,Neurology,Latin America,5874,88.52,7842.63,519966.48
2022-01-01,ImmunoFlex,Immunology,North America,5489,230.44,14466.16,1264885.16
2022-01-01,ImmunoFlex,Immunology,Europe,4977,232.37,16737.46,1156505.49
2022-01-01,ImmunoFlex,Immunology,Asia Pacific,3441,225.14,12918.59,774706.74
2022-01-01,ImmunoFlex,Immunology,Latin America,2392,225.33,12444.82,538989.36
2022-01-01,DiabeCare,Endocrinology,North America,24096,66.06,18548.38,1591781.76
2022-01-01,DiabeCare,Endocrinology,Europe,15834,63.15,18332.54,999917.1
2022-01-01,DiabeCare,Endocrinology,Asia Pacific,12318,64.98,13024.22,800423.64
2022-01-01,DiabeCare,Endocrinology,Latin America,8268,66.76,6496.74,551971.68
2022-02-01,CardioVasc-X,Cardiology,North America,11583,122.26,22880.43,1416137.58
2022-02-01,CardioVasc-X,Cardiology,Europe,7062,123.83,12463.08,874487.46
2022-02-01,CardioVasc-X,Cardiology,Asia Pacific,6675,117.27,16686.01,782777.25
2022-02-01,CardioVasc-X,Cardiology,Latin America,4109,115.1,6393.34,472945.9
2022-02-01,OncoShield-A,Oncology,North America,2552,435.83,22698.65,1112238.16
2022-02-01,OncoShield-A,Oncology,Europe,1917,460.45,21958.79,882682.65
2022-02-01,OncoShield-A,Oncology,Asia Pacific,1611,458.65,16470.88,738885.15
2022-02-01,OncoShield-A,Oncology,Latin America,972,449.52,8978.85,436933.44
2022-02-01,NeuroCalm,Neurology,North America,16790,82.28,25021.49,1381481.2
2022-02-01,NeuroCalm,Neurology,Europe,12701,81.04,21067.76,1029289.04
2022-02-01,NeuroCalm,Neurology,Asia Pacific,10277,88.61,11609.87,910644.97
2022-02-01,NeuroCalm,Neurology,Latin America,6306,87.93,12104.91,554486.58
2022-02-01,ImmunoFlex,Immunology,North America,7057,219.35,27365.59,1547952.95
2022-02-01,ImmunoFlex,Immunology,Europe,5337,221.27,13016.32,1180917.99
2022-02-01,ImmunoFlex,Immunology,Asia Pacific,4125,226.32,15470.57,933570.0
2022-02-01,ImmunoFlex,Immunology,Latin America,2738,225.75,9359.47,618103.5
2022-02-01,DiabeCare,Endocrinology,North America,23931,63.82,29709.82,1527276.42
2022-02-01,DiabeCare,Endocrinology,Europe,17696,65.75,21246.2,1163512.0
2022-02-01,DiabeCare,Endocrinology,Asia Pacific,14580,67.85,15056.27,989253.0
2022-02-01,DiabeCare,Endocrinology,Latin America,8263,64.36,12290.76,531806.68
2022-03-01,CardioVasc-X,Cardiology,North America,11349,124.48,33848.64,1412723.52
2022-03-01,CardioVasc-X,Cardiology,Europe,6609,122.85,12090.62,811915.65
2022-03-01,CardioVasc-X,Cardiology,Asia Pacific,6236,118.26,13653.57,737469.36
2022-03-01,CardioVasc-X,Cardiology,Latin America,3700,116.8,7937.84,432160.0
2022-03-01,OncoShield-A,Oncology,North America,2626,444.79,23026.65,1168018.54
2022-03-01,OncoShield-A,Oncology,Europe,1985,470.25,14317.83,933446.25
2022-03-01,OncoShield-A,Oncology,Asia Pacific,1560,470.01,17840.76,733215.6
2022-03-01,OncoShield-A,Oncology,Latin America,974,435.02,14528.07,423709.48
2022-03-01,NeuroCalm,Neurology,North America,18003,85.92,23959.42,1546817.76
2022-03-01,NeuroCalm,Neurology,Europe,12424,82.25,12498.21,1021874.0
2022-03-01,NeuroCalm,Neurology,Asia Pacific,9703,87.38,13048.51,847848.14
2022-03-01,NeuroCalm,Neurology,Latin America,6436,88.99,8951.76,572739.64
2022-03-01,ImmunoFlex,Immunology,North America,7571,234.51,29775.09,1775475.21
2022-03-01,ImmunoFlex,Immunology,Europe,5565,223.66,19470.81,1244667.9
2022-03-01,ImmunoFlex,Immunology,Asia Pacific,3989,232.14,15511.21,926006.46
2022-03-01,ImmunoFlex,Immunology,Latin America,2873,238.68,8267.78,685727.64
2022-03-01,DiabeCare,Endocrinology,North America,22404,67.53,20345.69,1512942.12
2022-03-01,DiabeCare,Endocrinology,Europe,19718,65.33,20199.12,1288176.94
2022-03-01,DiabeCare,Endocrinology,Asia Pacific,13224,64.17,14378.73,848584.08
2022-03-01,DiabeCare,Endocrinology,Latin America,8497,64.97,11694.65,552050.09
2022-04-01,CardioVasc-X,Cardiology,North America,11009,124.21,20917.81,1367427.89
2022-04-01,CardioVasc-X,Cardiology,Europe,6902,121.11,5570.37,835901.22
2022-04-01,CardioVasc-X,Cardiology,Asia Pacific,7073,122.14,13531.68,863896.22
